accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
4,Central Area,10,Entire home/apt,2,1,0,1,4,132,40,2,1124,1,87.102486
6,Central Area,18,Entire home/apt,1,3,3,3,4,432,110,1,1125,0,271.3014
2,Rainier Valley,11,Private room,1,1,1,1,4,1418,0,2,28,1,57.51052
4,Delridge,11,Entire home/apt,2,2,2,2,4,1333,175,3,10,1,183.15561
4,Delridge,9,Entire home/apt,2,1,1,2,4,795,50,2,30,1,86.79352
4,Downtown,7,Entire home/apt,2,1,0,1,4,622,60,1,90,0,187.54488
4,Rainier Valley,9,Entire home/apt,2,1,1,2,4,965,75,2,28,0,119.4592
2,Central Area,15,Entire home/apt,1,1,1,1,4,1249,50,1,2,0,120.49665
2,Central Area,7,Entire home/apt,1,1,1,1,4,1162,75,2,1125,1,126.130714
4,Downtown,1,Entire home/apt,1,2,2,2,4,100,100,7,1125,0,359.58716
10,University District,11,Entire home/apt,1,4,5,6,4,636,275,3,1124,1,482.05054
2,Ballard,11,Entire home/apt,1,1,2,2,4,462,75,3,1125,1,137.68616
4,Rainier Valley,11,Entire home/apt,2,1,2,2,4,887,75,2,30,0,126.78244
4,Queen Anne,11,Private room,4,1,2,2,4,483,49,2,4,0,115.75605
6,Downtown,7,Entire home/apt,1,2,2,3,4,328,49,1,1125,1,180.32996
6,West Seattle,11,Entire home/apt,1,2,3,3,4,1059,200,30,65,0,255.08266
3,Downtown,1,Entire home/apt,2,1,1,1,4,746,50,1,1125,0,160.25243
4,Other neighborhoods,9,Entire home/apt,2,1,1,2,4,375,0,2,1125,0,118.78664
4,West Seattle,11,Entire home/apt,2,1,2,2,4,127,90,2,65,0,114.14734
3,Downtown,1,Entire home/apt,2,1,1,1,4,598,89,2,1125,1,247.42513
4,Capitol Hill,1,Entire home/apt,1,1,1,1,4,166,99,1,1125,0,133.67146
2,Capitol Hill,11,Private room,1,2,1,1,4,686,30,3,120,0,85.36291
3,Other neighborhoods,11,Private room,2,1,1,2,2,55,80,3,1125,1,102.4997
5,Other neighborhoods,11,Private room,2,1,2,3,4,1548,0,2,6,0,103.80325
2,Central Area,11,Private room,1,1,1,1,4,1433,15,1,30,1,52.123516
1,Other neighborhoods,11,Shared room,1,3,1,1,4,50,75,4,90,0,38.59913
3,Beacon Hill,10,Entire home/apt,2,1,0,1,4,383,60,2,30,0,98.23327
4,Downtown,1,Entire home/apt,2,1,1,1,4,289,49,3,60,0,151.61679
2,Ballard,11,Private room,1,1,1,1,4,1345,60,1,1125,1,84.1857
4,Central Area,9,Entire home/apt,2,1,1,2,4,1273,35,2,21,0,96.82363
2,Central Area,1,Entire home/apt,1,1,0,1,4,1507,35,1,14,1,92.887405
2,Central Area,1,Entire home/apt,2,1,1,1,4,39,15,2,1125,0,82.23437
2,Downtown,1,Private room,2,1,1,1,4,402,25,1,10,1,150.7926
8,Queen Anne,11,Entire home/apt,4,1,3,5,4,679,130,3,31,0,289.8911
2,Downtown,1,Entire home/apt,1,1,1,1,4,1302,75,5,1125,1,201.88583
4,Downtown,1,Entire home/apt,1,1,0,1,4,1296,65,1,1125,1,126.70093
5,Cascade,1,Entire home/apt,4,2,2,2,4,601,129,2,1125,1,249.9511
4,Lake City,11,Entire home/apt,3,1,2,2,4,1066,100,1,1125,0,166.53458
3,University District,1,Entire home/apt,1,1,0,1,4,196,60,2,1125,0,102.72257
2,Seward Park,9,Entire home/apt,3,1,1,1,4,1192,40,1,1125,1,95.77578
3,West Seattle,9,Entire home/apt,2,1,2,2,4,240,95,2,365,0,111.04679
2,University District,11,Private room,4,1,1,1,4,418,25,1,45,1,76.44616
4,Downtown,1,Entire home/apt,2,1,0,2,4,627,65,1,40,0,207.72565
4,Delridge,18,Entire home/apt,1,2,3,3,4,1359,0,5,31,1,214.02753
8,West Seattle,11,Entire home/apt,4,3,4,5,4,227,100,2,90,0,244.04288
2,Queen Anne,11,Private room,1,1,1,1,4,80,20,1,21,1,64.133224
4,Queen Anne,9,Entire home/apt,2,1,1,2,4,210,50,2,30,0,106.280945
2,University District,11,Entire home/apt,1,1,0,1,4,1063,6,1,31,1,83.801605
7,Ballard,11,Entire home/apt,5,1,3,4,4,561,100,3,28,0,200.25368
2,West Seattle,9,Entire home/apt,1,1,1,2,4,778,85,2,30,1,106.1154
5,Capitol Hill,1,Entire home/apt,4,2,2,2,4,753,129,21,1125,1,248.56009
4,Capitol Hill,1,Entire home/apt,2,1,1,1,4,1106,85,2,10,1,145.943
3,Downtown,1,Entire home/apt,2,1,0,1,4,745,89,2,1125,1,151.0592
2,Other neighborhoods,11,Private room,1,1,1,1,4,1447,39,7,1125,0,42.74278
6,Downtown,1,Entire home/apt,1,1,2,4,4,393,135,3,1125,1,301.6587
1,Downtown,7,Shared room,1,1,1,1,4,1586,0,1,3,0,72.056
2,Queen Anne,10,Private room,1,1,1,1,3,625,0,2,31,0,149.00114
3,Queen Anne,1,Private room,2,1,1,1,4,423,15,2,30,0,68.6302
2,Other neighborhoods,9,Entire home/apt,1,1,1,1,4,615,40,2,7,1,91.56112
2,Downtown,1,Entire home/apt,1,1,1,1,4,1306,75,3,1125,1,188.40402
2,Capitol Hill,9,Entire home/apt,1,1,0,1,4,974,0,2,60,0,98.189415
5,Northgate,1,Entire home/apt,2,1,1,3,4,442,40,1,30,1,91.81812
5,West Seattle,1,Entire home/apt,1,1,2,3,4,801,90,1,1125,1,112.03102
6,Downtown,1,Entire home/apt,6,2,2,4,4,768,145,1,365,1,329.2389
6,Cascade,1,Entire home/apt,1,2,2,3,4,458,175,3,1125,0,305.98047
2,Rainier Valley,11,Private room,1,1,1,1,4,1388,15,2,30,0,46.256542
3,Beacon Hill,8,Entire home/apt,1,1,0,1,4,516,40,1,15,0,85.043686
1,Capitol Hill,13,Entire home/apt,1,1,0,1,4,1554,0,1,1125,0,104.06916
16,Capitol Hill,11,Entire home/apt,11,2,6,20,4,712,479,3,1124,0,513.3375
4,Downtown,7,Entire home/apt,1,1,1,2,4,925,95,2,180,1,144.09077
4,Capitol Hill,11,Entire home/apt,4,1,1,2,4,1428,75,1,20,0,145.0301
4,Downtown,1,Entire home/apt,2,1,0,1,4,1225,65,2,1125,1,147.65234
2,Central Area,7,Entire home/apt,1,1,1,1,4,325,99,30,1125,0,85.09022
4,Other neighborhoods,11,Entire home/apt,1,1,2,2,4,216,90,3,60,0,115.64516
2,Capitol Hill,1,Private room,1,1,0,1,4,932,57,7,14,1,73.997185
7,Queen Anne,11,Entire home/apt,1,2,4,5,4,1041,164,2,28,1,339.38797
3,Central Area,10,Entire home/apt,2,1,0,2,4,828,35,1,1125,1,85.336205
4,Delridge,11,Entire home/apt,2,1,0,3,4,711,60,1,80,1,114.685295
2,Other neighborhoods,1,Entire home/apt,1,1,1,1,4,942,35,1,14,1,147.907
4,Other neighborhoods,11,Entire home/apt,2,1,2,0,4,219,100,2,1125,1,123.49244
12,Queen Anne,11,Entire home/apt,10,3,5,7,4,410,245,2,100,1,380.08792
2,Other neighborhoods,11,Private room,2,1,1,1,4,54,45,1,95,1,56.78618
4,Beacon Hill,11,Entire home/apt,4,1,1,3,4,11,40,2,7,0,79.85171
2,University District,11,Private room,1,1,1,1,4,1567,20,1,21,1,80.85579
2,Downtown,13,Entire home/apt,1,1,1,1,4,882,100,2,1125,0,164.76035
2,Central Area,11,Entire home/apt,1,1,1,1,4,1097,60,1,1125,0,101.706345
4,Other neighborhoods,10,Entire home/apt,1,1,1,1,4,1075,45,1,30,1,93.56399
2,University District,11,Private room,1,1,1,1,4,308,0,2,60,1,66.125175
4,Other neighborhoods,11,Entire home/apt,1,3,3,0,4,285,100,5,1125,0,244.82796
2,Capitol Hill,1,Private room,1,1,1,1,4,1521,0,1,28,0,86.361374
3,Downtown,1,Entire home/apt,2,1,1,1,4,601,89,2,1125,1,247.42513
8,West Seattle,11,Entire home/apt,1,2,4,4,4,345,150,2,1125,0,324.1114
2,Capitol Hill,1,Entire home/apt,2,1,1,1,4,267,35,2,90,1,82.78496
4,Other neighborhoods,10,Entire home/apt,2,1,0,3,4,1383,35,1,14,1,80.15461
2,West Seattle,2,Private room,2,1,1,3,4,940,0,2,1125,0,114.01042
8,Other neighborhoods,11,Entire home/apt,7,2,4,4,4,1160,120,2,1125,1,236.47697
2,Cascade,1,Entire home/apt,1,1,0,1,4,1315,50,1,21,1,131.80731
2,Magnolia,18,Private room,1,1,1,1,4,419,15,1,30,1,68.34009
2,Other neighborhoods,11,Private room,1,2,2,1,4,1411,0,2,7,1,79.72172
5,Other neighborhoods,9,Entire home/apt,1,1,2,2,4,496,170,2,1125,1,148.78973
5,Ballard,1,Entire home/apt,2,1,1,3,4,972,50,2,1125,0,120.068756
5,Queen Anne,18,Entire home/apt,1,2,2,3,4,807,99,2,21,0,315.02087
10,Other neighborhoods,11,Entire home/apt,4,1,3,3,4,444,125,1,1125,1,224.16644
